teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,homeScore,awayScore,o35
9,10,19,20,4,5,2,6,2,0.5,0,0,0.5,0,0,0.5,0,0,0,1,1,0
18,19,5,6,4,5,8,6,4,0,1,1,1,1,1,1,0,1,1,3,2,1
13,16,12,15,4,4,3,6,7,0,1,0,0.5,1,0,0.5,0,0,1,1,0,0
7,11,11,13,4,6,5,3,2,1,0,1,0,0,0,0,0.5,0,1,1,2,0
2,20,1,10,4,5,3,4,6,0.5,1,0,1,1,1,0,0,1,0,1,0,0
5,14,7,4,4,5,4,1,5,0.5,1,0.5,1,0.5,0,0,1,1,1,3,1,1
17,15,16,14,4,2,3,3,6,0.5,1,0.5,0,0,0.5,1,0.5,0.5,0,2,0,0
3,9,2,19,5,15,4,6,3,1,1,1,0,1,0.5,0,0,0.5,0,3,0,0
6,4,18,8,5,5,5,7,8,0,1,0.5,0,0.5,0,0.5,0.5,1,1,3,0,0
17,12,16,9,5,4,3,5,13,0.5,1,0.5,0,0,0.5,0,0,1,0,3,1,1
16,7,15,11,5,6,8,7,7,0,0.5,0,0,1,1,0,1,0,0,0,1,0
11,2,13,1,5,5,3,6,3,0,0,0.5,0,1,0.5,1,0,1,1,0,3,0
15,5,14,7,5,3,8,8,5,0.5,1,0.5,0.5,0,0.5,1,0.5,1,0.5,0,1,0
